word,block,id,cond,order,word_duration,vot_duration,mem_1,mem_2
pall,a,4,g1,0,410.492138,56.662183,5.5,3.426064463
policy,a,4,g1,4,554.274143,47.19562,5.5,3.426064463
Paris,a,4,g1,7,489.791755,40.472988,5.5,3.426064463
purchase,a,4,g1,8,561.682758,51.58591,5.5,3.426064463
pebble,a,4,g1,9,349.529882,35.671108,5.5,3.426064463
peal,a,4,g1,14,296.344591,54.604235,5.5,3.426064463
panther,a,4,g1,16,421.282966,56.524987,5.5,3.426064463
personal,a,4,g1,17,447.809605,58.720132,5.5,3.426064463
possibly,a,4,g1,18,538.359341,65.854354,5.5,3.426064463
payment,a,4,g1,21,473.60256,62.01285,5.5,3.426064463
porcelain,a,4,g1,23,552.078998,57.622559,5.5,3.426064463
paw,a,4,g1,25,302.927349,34.702327,5.5,3.426064463
piping,a,4,g1,28,470.858629,76.281293,5.5,3.426064463
pave,a,4,g1,29,492.261294,79.025224,5.5,3.426064463
party,a,4,g1,30,417.077573,40.999684,5.5,3.426064463
park,a,4,g1,32,424.486188,90.549736,5.5,3.426064463
public,a,4,g1,38,475.523312,52.820679,5.5,3.426064463
parcel,a,4,g1,40,515.310317,80.259994,5.5,3.426064463
pain,a,4,g1,41,369.881953,48.841979,5.5,3.426064463
pointer,a,4,g1,42,484.029499,78.613635,5.5,3.426064463
power,a,4,g1,44,426.40694,61.464112,5.5,3.426064463
positive,a,4,g1,47,522.444539,42.256544,5.5,3.426064463
polarize,a,4,g1,49,685.98285,52.683483,5.5,3.426064463
pocket,a,4,g1,50,449.044374,52.820679,5.5,3.426064463
panama,a,4,g1,53,428.053299,60.503687,5.5,3.426064463
pair,a,4,g1,54,356.809843,60,5.5,3.426064463
pamper,a,4,g1,55,539.456914,73.948951,5.5,3.426064463
politic,a,4,g1,57,579.518312,62.790976,5.5,3.426064463
permit,a,4,g1,58,452.989896,93.979651,5.5,3.426064463
pendant,a,4,g1,59,493.358866,32.379344,5.5,3.426064463
peacock,a,4,g1,61,526.286043,58.445739,5.5,3.426064463
pallet,a,4,g1,62,406.489421,46.646834,5.5,3.426064463
point,a,4,g1,65,375.918602,92.196095,5.5,3.426064463
pastry,a,4,g1,68,564.701083,70.315156,5.5,3.426064463
pattern,a,4,g1,70,484.580759,48.155996,5.5,3.426064463
peace,a,4,g1,71,481.834354,74.634934,5.5,3.426064463
pitiful,a,4,g1,73,398.144441,35.396715,5.5,3.426064463
popular,a,4,g1,74,489.517356,41.021774,5.5,3.426064463
perk,a,4,g1,76,370.430735,36.357091,5.5,3.426064463
picture,a,4,g1,77,465.37076,28.605485,5.5,3.426064463
pall,b,4,g1,0,319.805205,51.037124,5.5,3.426064463
pebble,b,4,g1,3,407.473813,38.483638,5.5,3.426064463
power,b,4,g1,7,447.809605,70.321008,5.5,3.426064463
purchase,b,4,g1,8,580,53.194426,5.5,3.426064463
pair,b,4,g1,10,442.253144,93.430864,5.5,3.426064463
payment,b,4,g1,11,493.907652,62.973226,5.5,3.426064463
pastry,b,4,g1,13,453.227634,36.41545,5.5,3.426064463
party,b,4,g1,14,377.016175,47.298825,5.5,3.426064463
popular,b,4,g1,17,462.215245,37.510015,5.5,3.426064463
peal,b,4,g1,18,312.80818,79.025224,5.5,3.426064463
pave,b,4,g1,20,388.746481,51.654509,5.5,3.426064463
pointer,b,4,g1,22,400.888378,67.912302,5.5,3.426064463
picture,b,4,g1,25,442.047349,52.233334,5.5,3.426064463
point,b,4,g1,29,422.085248,76.967276,5.5,3.426064463
parcel,b,4,g1,30,432.78658,63.176201,5.5,3.426064463
polarize,b,4,g1,31,645.372666,71.822404,5.5,3.426064463
Paris,b,4,g1,32,452.748681,51.651567,5.5,3.426064463
peacock,b,4,g1,33,486.069406,64.275197,5.5,3.426064463
policy,b,4,g1,34,527.658009,84.581685,5.5,3.426064463
perk,b,4,g1,35,363.845304,75.39024,5.5,3.426064463
porcelain,b,4,g1,40,491.438114,41.158971,5.5,3.426064463
personal,b,4,g1,43,428.464888,45.366566,5.5,3.426064463
panther,b,4,g1,46,478.067509,58.239944,5.5,3.426064463
permit,b,4,g1,47,360.552586,65.648559,5.5,3.426064463
peace,b,4,g1,49,393.479763,40.541586,5.5,3.426064463
public,b,4,g1,52,474.27866,41.709171,5.5,3.426064463
pallet,b,4,g1,54,334.622434,61.738457,5.5,3.426064463
positive,b,4,g1,58,468.80068,62.973226,5.5,3.426064463
paw,b,4,g1,59,307.457514,46.098048,5.5,3.426064463
pocket,b,4,g1,61,382.093545,67.909507,5.5,3.426064463
possibly,b,4,g1,62,530.950726,61.874941,5.5,3.426064463
pitiful,b,4,g1,63,445.134272,45.274868,5.5,3.426064463
pamper,b,4,g1,66,400.065198,56.593585,5.5,3.426064463
park,b,4,g1,67,391.421814,80.671583,5.5,3.426064463
pain,b,4,g1,68,335.034024,53.506662,5.5,3.426064463
pendant,b,4,g1,70,543.298418,55.976201,5.5,3.426064463
panama,b,4,g1,73,393.479763,53.333768,5.5,3.426064463
piping,b,4,g1,76,470.241244,34.520755,5.5,3.426064463
pattern,b,4,g1,77,469.006475,74.497738,5.5,3.426064463
politic,b,4,g1,79,569.228569,78.613635,5.5,3.426064463
pall,a,5,g1,0,346.210788,83.643363,8.214285714,3.426064463
policy,a,5,g1,4,549.864193,78.276773,8.214285714,3.426064463
Paris,a,5,g1,7,561.50153,52.731685,8.214285714,3.426064463
purchase,a,5,g1,8,627.61286,64.539942,8.214285714,3.426064463
pebble,a,5,g1,9,318.572112,48.73135,8.214285714,3.426064463
peal,a,5,g1,14,349.253323,44.367349,8.214285714,3.426064463
panther,a,5,g1,16,532.408187,77.824694,8.214285714,3.426064463
personal,a,5,g1,17,577.502869,86.370864,8.214285714,3.426064463
possibly,a,5,g1,18,643.690226,69.096691,8.214285714,3.426064463
payment,a,5,g1,21,634.962223,88.007364,8.214285714,3.426064463
porcelain,a,5,g1,23,639.326224,57.459353,8.214285714,3.426064463
paw,a,5,g1,25,371.811269,68.249901,8.214285714,3.426064463
piping,a,5,g1,28,468.307849,51.640685,8.214285714,3.426064463
pave,a,5,g1,29,505.496844,65.880631,8.214285714,3.426064463
party,a,5,g1,30,463.856996,74.006193,8.214285714,3.426064463
park,a,5,g1,32,395.976144,77.09736,8.214285714,3.426064463
public,a,5,g1,38,520.043516,59.459521,8.214285714,3.426064463
parcel,a,5,g1,40,503.314841,74.188026,8.214285714,3.426064463
pain,a,5,g1,41,502.194314,90.385537,8.214285714,3.426064463
pointer,a,5,g1,42,553.64088,82.243754,8.214285714,3.426064463
power,a,5,g1,44,466.984047,74.821757,8.214285714,3.426064463
positive,a,5,g1,47,594.963352,74.019379,8.214285714,3.426064463
polarize,a,5,g1,49,843.840915,81.441376,8.214285714,3.426064463
pocket,a,5,g1,50,381.129592,74.621162,8.214285714,3.426064463
panama,a,5,g1,53,581.840914,72.013433,8.214285714,3.426064463
pair,a,5,g1,54,393.883769,87.459212,8.214285714,3.426064463
pamper,a,5,g1,55,485.639337,66.196192,8.214285714,3.426064463
politic,a,5,g1,57,616.226371,63.270966,8.214285714,3.426064463
permit,a,5,g1,58,369.09392,69.004516,8.214285714,3.426064463
pendant,a,5,g1,59,415.631849,44.933173,8.214285714,3.426064463
peacock,a,5,g1,61,579.316979,50.704459,8.214285714,3.426064463
pallet,a,5,g1,62,371.501054,75.42354,8.214285714,3.426064463
point,a,5,g1,65,487.645283,62.585491,8.214285714,3.426064463
pastry,a,5,g1,68,576.107467,84.249699,8.214285714,3.426064463
pattern,a,5,g1,70,478.21734,77.746905,8.214285714,3.426064463
peace,a,5,g1,71,522.348135,84.249699,8.214285714,3.426064463
pitiful,a,5,g1,73,523.700857,62.695674,8.214285714,3.426064463
popular,a,5,g1,74,613.946308,55.904412,8.214285714,3.426064463
perk,a,5,g1,76,409.946162,79.145365,8.214285714,3.426064463
picture,a,5,g1,77,495.202045,31.121567,8.214285714,3.426064463
pall,b,5,g1,0,365.777462,60,8.214285714,3.426064463
pebble,b,5,g1,3,435.415275,77.567149,8.214285714,3.426064463
power,b,5,g1,7,414.580145,74.91536,8.214285714,3.426064463
purchase,b,5,g1,8,641.757852,64.982316,8.214285714,3.426064463
pair,b,5,g1,10,322.181639,70,8.214285714,3.426064463
payment,b,5,g1,11,559.319529,81.328838,8.214285714,3.426064463
pastry,b,5,g1,13,568.047533,86.990638,8.214285714,3.426064463
party,b,5,g1,14,469.857498,71.687314,8.214285714,3.426064463
popular,b,5,g1,17,544.772858,56.73202,8.214285714,3.426064463
peal,b,5,g1,18,386.032302,65.296741,8.214285714,3.426064463
pave,b,5,g1,20,503.314843,65.704596,8.214285714,3.426064463
pointer,b,5,g1,22,478.585501,79.457775,8.214285714,3.426064463
picture,b,5,g1,25,536.044855,29.093344,8.214285714,3.426064463
point,b,5,g1,29,463.129662,71.278692,8.214285714,3.426064463
parcel,b,5,g1,30,468.402831,79.235834,8.214285714,3.426064463
polarize,b,5,g1,31,849.525631,88.370317,8.214285714,3.426064463
Paris,b,5,g1,32,618.869937,82.825083,8.214285714,3.426064463
peacock,b,5,g1,33,582.687056,47.484797,8.214285714,3.426064463
policy,b,5,g1,34,629.143554,82.496341,8.214285714,3.426064463
perk,b,5,g1,35,386.941469,59.277687,8.214285714,3.426064463
porcelain,b,5,g1,40,597.140876,63.278022,8.214285714,3.426064463
personal,b,5,g1,43,544.045524,66.91469,8.214285714,3.426064463
panther,b,5,g1,46,562.115454,70,8.214285714,3.426064463
permit,b,5,g1,47,410.397977,70.187691,8.214285714,3.426064463
peace,b,5,g1,49,483.676836,61.40308,8.214285714,3.426064463
public,b,5,g1,52,509.860845,70.733191,8.214285714,3.426064463
pallet,b,5,g1,54,358.662722,71.642358,8.214285714,3.426064463
positive,b,5,g1,58,601.821066,60,8.214285714,3.426064463
paw,b,5,g1,59,377.304299,71.278692,8.214285714,3.426064463
pocket,b,5,g1,61,566.592865,86.552697,8.214285714,3.426064463
possibly,b,5,g1,62,652.781896,85.891717,8.214285714,3.426064463
pitiful,b,5,g1,63,548.409526,64.732689,8.214285714,3.426064463
pamper,b,5,g1,66,527.928418,68.980924,8.214285714,3.426064463
park,b,5,g1,67,421.222208,90,8.214285714,3.426064463
pain,b,5,g1,68,466.470588,78.256285,8.214285714,3.426064463
pendant,b,5,g1,70,534.251429,70,8.214285714,3.426064463
panama,b,5,g1,73,516.406848,81.279529,8.214285714,3.426064463
piping,b,5,g1,76,416.03481,46.549349,8.214285714,3.426064463
pattern,b,5,g1,77,434.992956,77.824693,8.214285714,3.426064463
politic,b,5,g1,79,680.420563,74.759766,8.214285714,3.426064463
pall,a,6,g2,0,356.211625,46.367516,7.458333333,2.348788663
policy,a,6,g2,4,658.236897,74.91536,7.458333333,2.348788663
Paris,a,6,g2,7,471.312165,64.732689,7.458333333,2.348788663
purchase,a,6,g2,8,565.865532,42.367182,7.458333333,2.348788663
pebble,a,6,g2,9,402.215474,59.641354,7.458333333,2.348788663
peal,a,6,g2,14,453.128826,97.462701,7.458333333,2.348788663
panther,a,6,g2,16,663.328233,80.006695,7.458333333,2.348788663
personal,a,6,g2,17,681.587471,82.916029,7.458333333,2.348788663
possibly,a,6,g2,18,645.872226,73.460692,7.458333333,2.348788663
porcelain,a,6,g2,23,667.691828,72.006025,7.458333333,2.348788663
paw,a,6,g2,25,481.494836,93.826033,7.458333333,2.348788663
piping,a,6,g2,28,482.040336,38.185013,7.458333333,2.348788663
pave,a,6,g2,29,400.033474,97.462701,7.458333333,2.348788663
party,a,6,g2,30,440.764155,77.279194,7.458333333,2.348788663
park,a,6,g2,32,422.580815,96.735367,7.458333333,2.348788663
public,a,6,g2,38,459.674828,77.824694,7.458333333,2.348788663
parcel,a,6,g2,40,559.319529,74.188026,7.458333333,2.348788663
pain,a,6,g2,41,507.678845,93.826033,7.458333333,2.348788663
pointer,a,6,g2,42,647.326894,82.916029,7.458333333,2.348788663
power,a,6,g2,44,533.862854,87.098197,7.458333333,2.348788663
positive,a,6,g2,47,712.059583,97.462701,7.458333333,2.348788663
polarize,a,6,g2,49,778.24694,88.734698,7.458333333,2.348788663
pocket,a,6,g2,50,457.492827,76.764056,7.458333333,2.348788663
panama,a,6,g2,53,579.68487,86.552697,7.458333333,2.348788663
pair,a,6,g2,54,466.948164,106.190704,7.458333333,2.348788663
pamper,a,6,g2,55,611.687548,89.462031,7.458333333,2.348788663
politic,a,6,g2,57,655.213658,82.188695,7.458333333,2.348788663
permit,a,6,g2,58,446.582823,74.188026,7.458333333,2.348788663
pendant,a,6,g2,59,576.048202,79.279361,7.458333333,2.348788663
peacock,a,6,g2,61,464.288591,57.459353,7.458333333,2.348788663
pallet,a,6,g2,62,392.760138,48.18585,7.458333333,2.348788663
point,a,6,g2,65,510.588179,66.91469,7.458333333,2.348788663
pastry,a,6,g2,68,693.14891,86.552697,7.458333333,2.348788663
pattern,a,6,g2,70,541.13619,103.28137,7.458333333,2.348788663
peace,a,6,g2,71,449.492158,90.189365,7.458333333,2.348788663
pitiful,a,6,g2,73,416.538137,62.550689,7.458333333,2.348788663
popular,a,6,g2,74,566.766647,82.188695,7.458333333,2.348788663
perk,a,6,g2,76,309.844109,54.913686,7.458333333,2.348788663
picture,a,6,g2,77,487.131671,41.094348,7.458333333,2.348788663
pall,b,6,g2,0,338.756553,72.818397,7.458333333,2.348788663
pebble,b,6,g2,3,354.700762,90.509154,7.458333333,2.348788663
power,b,6,g2,7,498.791324,100.418916,7.458333333,2.348788663
purchase,b,6,g2,8,599.402462,76.11294,7.458333333,2.348788663
pair,b,6,g2,10,391.992684,88.527202,7.458333333,2.348788663
payment,b,6,g2,11,557.589241,115.613883,7.458333333,2.348788663
pastry,b,6,g2,13,500.112625,73.332234,7.458333333,2.348788663
park,b,6,g2,67,204.141085,55.494664,7.458333333,2.348788663
party,b,6,g2,14,286.061779,36.335792,7.458333333,2.348788663
popular,b,6,g2,17,455.188374,37.502677,7.458333333,2.348788663
pave,b,6,g2,20,464.437484,83.241996,7.458333333,2.348788663
pointer,b,6,g2,22,429.918482,54.338525,7.458333333,2.348788663
picture,b,6,g2,25,443.957311,34.168134,7.458333333,2.348788663
point,b,6,g2,29,381.856139,74.653536,7.458333333,2.348788663
parcel,b,6,g2,30,521.975596,60.77987,7.458333333,2.348788663
polarize,b,6,g2,31,725.256674,76.635488,7.458333333,2.348788663
Paris,b,6,g2,32,557.589241,101.740217,7.458333333,2.348788663
peacock,b,6,g2,33,457.335489,66.560564,7.458333333,2.348788663
policy,b,6,g2,34,571.324966,61.440521,7.458333333,2.348788663
perk,b,6,g2,35,323.058222,61.936009,7.458333333,2.348788663
porcelain,b,6,g2,40,611.762604,62.101171,7.458333333,2.348788663
personal,b,6,g2,43,560.231845,60.119219,7.458333333,2.348788663
panther,b,6,g2,46,516.628894,46.906204,7.458333333,2.348788663
permit,b,6,g2,47,424.798439,72.010933,7.458333333,2.348788663
peace,b,6,g2,49,397.71175,81.920693,7.458333333,2.348788663
public,b,6,g2,52,379.213529,51.530758,7.458333333,2.348788663
pallet,b,6,g2,54,366.000514,74.653534,7.458333333,2.348788663
positive,b,6,g2,58,512.004329,81.920693,7.458333333,2.348788663
paw,b,6,g2,59,420.834526,113.631928,7.458333333,2.348788663
pocket,b,6,g2,61,420.834526,96.455009,7.458333333,2.348788663
possibly,b,6,g2,62,644.36133,62.10117,7.458333333,2.348788663
pitiful,b,6,g2,63,504.406845,68.707678,7.458333333,2.348788663
pamper,b,6,g2,66,568.159642,103.061517,7.458333333,2.348788663
park,b,6,g2,67,424.96215,107.686072,7.458333333,2.348788663
pain,b,6,g2,68,490.202854,93.812406,7.458333333,2.348788663
pendant,b,6,g2,70,448.581857,72.671582,7.458333333,2.348788663
panama,b,6,g2,73,538.430359,68.707678,7.458333333,2.348788663
piping,b,6,g2,76,456.509666,66.725725,7.458333333,2.348788663
pattern,b,6,g2,77,452.545762,75.314185,7.458333333,2.348788663
politic,b,6,g2,79,470.314322,61.440519,7.458333333,2.348788663
pall,a,7,g2,0,458.947494,97.462701,3.875,2.504126581
policy,a,7,g2,4,608.300331,85.09803,3.875,2.504126581
Paris,a,7,g2,7,612.914269,69.824024,3.875,2.504126581
purchase,a,7,g2,8,619.688217,72.733359,3.875,2.504126581
pebble,a,7,g2,9,396.396805,74.91536,3.875,2.504126581
peal,a,7,g2,14,370.712103,72.437829,3.875,2.504126581
panther,a,7,g2,16,601.504877,61.823355,3.875,2.504126581
personal,a,7,g2,17,552.046193,60.368688,3.875,2.504126581
possibly,a,7,g2,18,616.051549,73.460692,3.875,2.504126581
payment,a,7,g2,21,692.126208,75.710992,3.875,2.504126581
porcelain,a,7,g2,23,565.138198,88.007364,3.875,2.504126581
paw,a,7,g2,25,448.764824,108.372705,3.875,2.504126581
