,word,block,id,cond,order,word_duration,vot,KF,vot_per,word_id
3438,pain,a,46,g2,41,496.768837,91.644031,91,18.44802334,pain46
3494,pain,b,46,g2,68,545.500191,122.192043,91,22.40000004,pain46
3518,pain,a,47,g1,41,376.758799,72.733359,91,19.30501934,pain47
3574,pain,b,47,g1,68,502.587509,70.551358,91,14.03762663,pain47
3598,pain,a,48,g2,41,480.736779,79.025224,91,16.43835618,pain48
3654,pain,b,48,g2,68,514.761529,82.317942,91,15.99147127,pain48
3678,pain,a,49,g1,41,439.029022,52.683483,91,12.00000008,pain49
3732,pain,b,49,g1,68,511.468811,87.805804,91,17.16738188,pain49
3756,pain,a,1,g1,41,338.601135,97.683958,91,28.84927069,pain1
3812,pain,b,1,g1,68,379.098856,103.720607,91,27.35977842,pain1
3835,pain,a,2,g1,41,422.817475,68.872678,91,16.28898569,pain2
3890,pain,b,2,g1,68,487.322217,115.245119,91,23.64864867,pain2
26,pair,a,3,g1,54,402.80913,104.384524,58,25.91414053,pair3
45,pair,b,3,g1,10,455.183469,124.27427,58,27.30201742,pair3
106,pair,a,4,g1,54,356.809843,60,58,16.81567961,pair4
125,pair,b,4,g1,10,442.253144,93.430864,58,21.1261051,pair4
186,pair,a,5,g1,54,393.883769,87.459212,58,22.20431987,pair5
205,pair,b,5,g1,10,322.181639,70,58,21.72687439,pair5
265,pair,a,6,g2,54,466.948164,106.190704,58,22.74143303,pair6
284,pair,b,6,g2,10,391.992684,88.527202,58,22.58389139,pair6
345,pair,a,7,g2,54,450.219491,95.2807,58,21.16316639,pair7
364,pair,b,7,g2,10,532.408186,144.739384,58,27.18579237,pair7
425,pair,a,8,g2,54,400.760807,59.641354,58,14.88203261,pair8
444,pair,b,8,g2,10,469.471102,100.337941,58,21.37254893,pair8
504,pair,a,9,g2,54,581.157621,75.732507,58,13.0313196,pair9
522,pair,b,9,g2,10,503.785805,72.988575,58,14.48801738,pair9
583,pair,a,10,g2,54,447.809593,76.830077,58,17.15686269,pair10
602,pair,b,10,g2,10,398.418839,61.464063,58,15.42699717,pair10
662,pair,a,11,g1,54,400.065198,82.317942,58,20.57613169,pair11
681,pair,b,11,g1,10,444.516885,88.903377,58,20,pair11
740,pair,a,12,g1,54,491.642569,72.008255,58,14.64646464,pair12
758,pair,b,12,g1,10,463.450013,105.366966,58,22.73534643,pair12
818,pair,a,13,g1,54,544.045523,109.100038,58,20.05347593,pair13
837,pair,b,13,g1,10,522.225516,119.282708,58,22.84122555,pair13
897,pair,a,14,g1,54,345.739588,69.147918,58,20.00000012,pair14
916,pair,b,14,g1,10,417.489478,81.461362,58,19.51219523,pair14
976,pair,a,15,g1,54,424.035477,59.641354,58,14.06518021,pair15
995,pair,b,15,g1,10,458.266934,76.377822,58,16.66666659,pair15
1056,pair,a,16,g1,54,391.30547,81.461362,58,20.81784392,pair16
1075,pair,b,16,g1,10,413.85281,88.734697,58,21.44112468,pair16
1136,pair,a,17,g1,54,476.767166,77.461027,58,16.24713959,pair17
1155,pair,b,17,g1,10,519.316181,50.186018,58,9.663865644,pair17
1216,pair,a,18,g1,54,379.259004,70.88093,58,18.68932029,pair18
1235,pair,b,18,g1,10,357.183452,62.550688,58,17.51220211,pair18
1296,pair,a,19,g1,54,440.764154,56.73202,58,12.87128717,pair19
1315,pair,b,19,g1,10,451.674158,72.006025,58,15.94202894,pair19
1376,pair,a,20,g1,54,395.126122,111.952401,58,28.33333327,pair20
1395,pair,b,20,g1,10,588.298892,122.928127,58,20.89552244,pair20
1456,pair,a,21,g2,54,397.851473,79.279361,58,19.92687382,pair21
1475,pair,b,21,g2,10,408.034141,66.91469,58,16.39928704,pair21
1536,pair,a,22,g2,54,380.395466,50.186018,58,13.19311677,pair22
1555,pair,b,22,g2,10,491.677506,67.642024,58,13.7573965,pair22
1616,pair,a,23,g2,54,353.418364,54.878628,58,15.52795032,pair23
1635,pair,b,23,g2,10,388.540684,82.317942,58,21.1864408,pair23
1696,pair,a,24,g2,54,509.273667,73.537361,58,14.43965509,pair24
1715,pair,b,24,g2,10,485.030602,94.850429,58,19.55555559,pair24
1774,pair,a,25,g2,54,419.272718,114.147546,58,27.22513083,pair25
1791,pair,b,25,g2,10,413.784855,97.683958,58,23.6074271,pair25
1852,pair,a,26,g2,54,448.907173,127.318416,58,28.36185823,pair26
1871,pair,b,26,g2,10,447.809602,94.39124,58,21.07843145,pair26
1932,pair,a,27,g2,54,427.285054,83.964312,58,19.65065504,pair27
1951,pair,b,27,g2,10,384.150396,93.293668,58,24.28571439,pair27
2011,pair,a,28,g2,54,363.296517,71.342216,58,19.63746215,pair28
2030,pair,b,28,g2,10,419.272716,58.171345,58,13.87434545,pair28
2091,pair,a,29,g2,54,353.418364,68.049499,58,19.25465848,pair29
2110,pair,b,29,g2,10,325.430264,72.439789,58,22.25969647,pair29
2168,pair,a,30,g2,54,325.97905,69.147071,58,21.21212115,pair30
2187,pair,b,30,g2,10,379.023722,54.146246,58,14.28571429,pair30
2248,pair,a,31,g1,54,359.80294,88.903376,58,24.7089076,pair31
2267,pair,b,31,g1,10,387.443111,91.098522,58,23.51274791,pair31
2328,pair,a,32,g1,54,329.271768,66.951926,58,20.33333328,pair32
2347,pair,b,32,g1,10,408.29699,82.317942,58,20.16129044,pair32
2408,pair,a,33,g1,54,481.834354,81.220369,58,16.85649193,pair33
2427,pair,b,33,g1,10,491.712507,93.293668,58,18.97321436,pair33
2488,pair,a,34,g1,54,478.541636,136.098997,58,28.44036689,pair34
2507,pair,b,34,g1,10,398.418838,85.610659,58,21.4876032,pair34
2568,pair,a,35,g1,54,364.39409,65.854354,58,18.07228926,pair35
2587,pair,b,35,g1,10,425.858149,61.464063,58,14.43298975,pair35
2648,pair,a,36,g1,54,485.127071,97.683958,58,20.13574666,pair36
2667,pair,b,36,g1,10,477.444059,93.293667,58,19.54022995,pair36
2728,pair,a,37,g2,54,556.469288,118.537836,58,21.30177506,pair37
2746,pair,b,37,g2,10,513.663956,102.074248,58,19.87179494,pair37
2806,pair,a,38,g2,54,476.346491,92.196095,58,19.3548387,pair38
2825,pair,b,38,g2,10,439.061866,95.488812,58,21.74837293,pair38
2886,pair,a,39,g2,54,410.492138,72.439789,58,17.64705881,pair39
2905,pair,b,39,g2,10,395.126121,55.9762,58,14.16666655,pair39
2966,pair,a,40,g2,54,496.102797,80.122797,58,16.15044251,pair40
2985,pair,b,40,g2,10,531.225113,106.464537,58,20.04132229,pair40
3046,pair,a,41,g2,54,456.590181,102.074247,58,22.35576919,pair41
3065,pair,b,41,g2,10,465.370764,107.562111,58,23.11320764,pair41
3126,pair,a,42,g2,54,360.003797,36.219894,58,10.06097555,pair42
3145,pair,b,42,g2,10,352.320791,49.390765,58,14.01869156,pair42
3205,pair,a,43,g1,54,565.249868,92.196095,58,16.31067962,pair43
3224,pair,b,43,g1,10,451.102322,72.439789,58,16.05839418,pair43
3285,pair,a,44,g2,54,445.614455,111.9524,58,25.1231527,pair44
3304,pair,b,44,g2,10,534.517837,103.171821,58,19.30184811,pair44
3365,pair,a,45,g1,54,482.931923,94.39124,58,19.54545465,pair45
3384,pair,b,45,g1,10,465.370764,95.488812,58,20.51886783,pair45
3445,pair,a,46,g2,54,433.490815,75.642693,58,17.44966453,pair46
3464,pair,b,46,g2,10,421.126147,77.824694,58,18.48013821,pair46
3525,pair,a,47,g1,54,397.124139,64.005356,58,16.11721618,pair47
3544,pair,b,47,g1,10,406.579475,99.644701,58,24.50804999,pair47
3605,pair,a,48,g2,54,375.369814,64.756781,58,17.25146205,pair48
3624,pair,b,48,g2,10,476.34649,91.098522,58,19.1244239,pair48
3685,pair,a,49,g1,54,458.785328,74.634934,58,16.26794264,pair49
3703,pair,b,49,g1,10,512.566383,81.220369,58,15.8458244,pair49
3763,pair,a,1,g1,54,458.236544,86.708232,58,18.92215563,pair1
3782,pair,b,1,g1,10,300.07165,67.340765,58,22.44156187,pair1
3842,pair,a,2,g1,54,355.476313,85.747856,58,24.12196055,pair2
3861,pair,b,2,g1,10,470.858629,134.589835,58,28.583916,pair2
1,pall,a,3,g1,0,334.851737,64.756781,42,19.33894134,pall3
41,pall,b,3,g1,0,394.482338,69.376403,42,17.58669434,pall3
81,pall,a,4,g1,0,410.492138,56.662183,42,13.80347582,pall4
121,pall,b,4,g1,0,319.805205,51.037124,42,15.95881593,pall4
161,pall,a,5,g1,0,346.210788,83.643363,42,24.15966397,pall5
201,pall,b,5,g1,0,365.777462,60,42,16.40341635,pall5
241,pall,a,6,g2,0,356.211625,46.367516,42,13.01684525,pall6
280,pall,b,6,g2,0,338.756553,72.818397,42,21.49578993,pall6
320,pall,a,7,g2,0,458.947494,97.462701,42,21.23613317,pall7
360,pall,b,7,g2,0,444.400822,124.374043,42,27.9869066,pall7
400,pall,a,8,g2,0,433.490818,66.187356,42,15.26845627,pall8
440,pall,b,8,g2,0,431.269041,69.039868,42,16.00853793,pall8
480,pall,a,9,g2,0,376.905006,91.647309,42,24.31575796,pall9
518,pall,b,9,g2,0,448.358391,68.049499,42,15.17747863,pall9
558,pall,a,10,g2,0,409.584844,72.439787,42,17.6861493,pall10
598,pall,b,10,g2,0,413.416702,80.122797,42,19.38063862,pall10
637,pall,a,11,g1,0,383.60161,58.171346,42,15.16452082,pall11
677,pall,b,11,g1,0,411.589708,76.830079,42,18.66666671,pall11
717,pall,a,12,g1,0,372.625884,45.000475,42,12.07658323,pall12
755,pall,b,12,g1,0,360.552586,74.086148,42,20.54794526,pall12
793,pall,a,13,g1,0,497.496174,114.191373,42,22.95321632,pall13
833,pall,b,13,g1,0,307.450249,86.552697,42,28.15177326,pall13
873,pall,a,14,g1,0,374.65599,58.461421,42,15.60402678,pall14
912,pall,b,14,g1,0,321.481445,48.004017,42,14.9321268,pall14
952,pall,a,15,g1,0,533.862848,116.373373,42,21.79836515,pall15
991,pall,b,15,g1,0,452.401492,48.004017,42,10.61093251,pall15
1031,pall,a,16,g1,0,434.945485,78.552027,42,18.06020058,pall16
1071,pall,b,16,g1,0,346.210786,85.098029,42,24.57983184,pall16
1111,pall,a,17,g1,0,378.031631,85.09803,42,22.51082265,pall17
1151,pall,b,17,g1,0,371.303796,73.460692,42,19.78452491,pall17
1191,pall,a,18,g1,0,350.722525,47.867641,42,13.6482939,pall18
1231,pall,b,18,g1,0,387.668801,65.460023,42,16.88555355,pall18
1271,pall,a,19,g1,0,426.944816,50.913351,42,11.92504256,pall19
1311,pall,b,19,g1,0,434.218152,86.552697,42,19.93299833,pall19
1351,pall,a,20,g1,0,458.78533,92.196095,42,20.09569377,pall20
1391,pall,b,20,g1,0,485.675858,109.757256,42,22.59887005,pall20
1431,pall,a,21,g2,0,333.118783,61.096021,42,18.34061125,pall21
1471,pall,b,21,g2,0,365.848793,93.826032,42,25.64612315,pall21
1511,pall,a,22,g2,0,393.487471,82.916029,42,21.07208872,pall22
1551,pall,b,22,g2,0,394.942138,66.187357,42,16.75874783,pall22
1591,pall,a,23,g2,0,399.516411,47.19562,42,11.81318682,pall23
1631,pall,b,23,g2,0,468.875736,90.00095,42,19.19505385,pall23
1671,pall,a,24,g2,0,484.029498,139.391715,42,28.79818597,pall24
1711,pall,b,24,g2,0,547.545658,122.874419,42,22.44094482,pall24
1751,pall,a,25,g2,0,376.636355,93.293668,42,24.77022379,pall25
1787,pall,b,25,g2,0,363.296517,82.317942,42,22.65861029,pall25
1827,pall,a,26,g2,0,364.394087,83.415514,42,22.89156629,pall26
1867,pall,b,26,g2,0,321.588759,62.012849,42,19.28327632,pall26
1907,pall,a,27,g2,0,437.382665,82.317942,42,18.82057717,pall27
1947,pall,b,27,g2,0,430.248444,97.683958,42,22.70408164,pall27
1986,pall,a,28,g2,0,408.296992,65.854354,42,16.12903237,pall28
2026,pall,b,28,g2,0,435.736304,74.634934,42,17.12846355,pall28
2066,pall,a,29,g2,0,329.271767,78.476438,42,23.83333339,pall29
2106,pall,b,29,g2,0,334.210844,72.988575,42,21.83908042,pall29
2145,pall,a,30,g2,0,362.198945,81.494763,42,22.5000001,pall30
2183,pall,b,30,g2,0,352.869577,90.00095,42,25.50544333,pall30
2223,pall,a,31,g1,0,371.528307,73.537361,42,19.79320542,pall31
2263,pall,b,31,g1,0,388.540684,80.122796,42,20.62146882,pall31
2303,pall,a,32,g1,0,363.296517,79.57401,42,21.90332312,pall32
2343,pall,b,32,g1,0,334.210843,77.378865,42,23.15270932,pall32
2383,pall,a,33,g1,0,542.200845,75.732507,42,13.96761139,pall33
2423,pall,b,33,g1,0,443.419314,88.903377,42,20.04950488,pall33
2463,pall,a,34,g1,0,429.150871,116.342691,42,27.10997434,pall34
2503,pall,b,34,g1,0,345.735355,77.927651,42,22.53968241,pall34
2543,pall,a,35,g1,0,293.60066,65.305567,42,22.24299053,pall35
2583,pall,b,35,g1,0,315.003322,64.75678,42,20.55749114,pall35
2623,pall,a,36,g1,0,410.492137,60.366491,42,14.70588242,pall36
2663,pall,b,36,g1,0,381.955247,92.196094,42,24.13793101,pall36
2703,pall,a,37,g2,0,514.487137,92.196095,42,17.92000001,pall37
2742,pall,b,37,g2,0,481.708655,65.854353,42,13.67099227,pall37
2781,pall,a,38,g2,0,319.942401,64.756781,42,20.24013722,pall38
2821,pall,b,38,g2,0,398.418837,88.903377,42,22.31404962,pall38
2861,pall,a,39,g2,0,261.16115,36.768681,42,14.07892445,pall39
2901,pall,b,39,g2,0,339.149921,50.488338,42,14.88673146,pall39
2941,pall,a,40,g2,0,455.492612,63.659208,42,13.97590352,pall40
2981,pall,b,40,g2,0,492.810074,91.098521,42,18.48552329,pall40
3021,pall,a,41,g2,0,588.298887,121.830553,42,20.70895521,pall41
3061,pall,b,41,g2,0,468.663482,81.220369,42,17.33021072,pall41
3101,pall,a,42,g2,0,446.712029,75.732506,42,16.95331692,pall42
3141,pall,b,42,g2,0,302.930026,79.025224,42,26.08695646,pall42
3180,pall,a,43,g1,0,526.834828,115.245119,42,21.87500007,pall43
3220,pall,b,43,g1,0,451.102322,79.025224,42,17.51824811,pall43
