"","word","block","id","cond","order","word_duration","vot","KF","vot_per","word_id"
"1049","pain","a","16","g1",41,449.492157,78.552027,91,17.4757280581427,"pain16"
"1105","pain","b","16","g1",68,579.836711,85.825363,91,14.8016435268446,"pain16"
"1129","pain","a","17","g1",41,517.13418,111.282039,91,21.5189873931752,"pain17"
"1185","pain","b","17","g1",68,471.312164,87.28003,91,18.5185184399357,"pain17"
"1209","pain","a","18","g1",41,428.507442,77.324651,91,18.0451127380887,"pain18"
"1265","pain","b","18","g1",68,429.854149,72.733358,91,16.9204736465159,"pain18"
"1289","pain","a","19","g1",41,475.676166,71.278692,91,14.9847095765568,"pain19"
"1345","pain","b","19","g1",68,469.857498,65.460023,91,13.9318885574111,"pain19"
"1369","pain","a","20","g1",41,533.420265,99.879103,91,18.7242798134038,"pain20"
"1425","pain","b","20","g1",68,568.542586,90.00095,91,15.8301158464144,"pain20"
"1449","pain","a","21","g2",41,417.48948,76.370027,91,18.2926829677241,"pain21"
"1505","pain","b","21","g2",68,479.797793,89.462031,91,18.645777930871,"pain21"
"1529","pain","a","22","g2",41,440.764154,66.91469,91,15.1815181413323,"pain22"
"1585","pain","b","22","g2",68,510.371241,80.122797,91,15.6989247362392,"pain22"
"1609","pain","a","23","g2",41,418.175145,60.366491,91,14.435695598312,"pain23"
"1665","pain","b","23","g2",68,381.955249,73.537361,91,19.2528735218403,"pain23"
"1689","pain","a","24","g2",41,524.639683,79.025224,91,15.0627614648052,"pain24"
"1745","pain","b","24","g2",68,465.629378,92.694737,91,19.9074073457625,"pain24"
"1768","pain","a","25","g2",41,498.297942,105.366966,91,21.1453745076876,"pain25"
"1821","pain","b","25","g2",68,436.833878,93.293668,91,21.3567840541891,"pain25"
"1845","pain","a","26","g2",41,429.150867,79.025224,91,18.4143223459921,"pain26"
"1901","pain","b","26","g2",68,444.516885,68.049498,91,15.3086418753249,"pain26"
"1925","pain","a","27","g2",41,433.815611,69.97026,91,16.129032295244,"pain27"
"1980","pain","b","27","g2",68,454.39504,80.122797,91,17.6328502617458,"pain27"
"2004","pain","a","28","g2",41,473.053773,79.025224,91,16.7053363719815,"pain28"
"2060","pain","b","28","g2",68,545.49356,69.147071,91,12.6760563406101,"pain28"
"2084","pain","a","29","g2",41,428.053298,63.659208,91,14.8717947735564,"pain29"
"2139","pain","b","29","g2",68,513.663958,118.537836,91,23.0769229870709,"pain29"
"2161","pain","a","30","g2",41,373.723457,52.683483,91,14.0969163195983,"pain30"
"2217","pain","b","30","g2",68,467.262049,76.205828,91,16.3090129324841,"pain30"
"2241","pain","a","31","g1",41,363.296513,94.391239,91,25.9818731042981,"pain31"
"2297","pain","b","31","g1",68,414.882425,88.903377,91,21.4285714802212,"pain31"
"2321","pain","a","32","g1",41,363.296517,74.086148,91,20.3927493199721,"pain32"
"2377","pain","b","32","g1",68,426.955724,54.878628,91,12.8534704924111,"pain32"
"2401","pain","a","33","g1",41,536.712982,86.708232,91,16.1554191733711,"pain33"
"2457","pain","b","33","g1",68,631.104222,92.196095,91,14.6086956458358,"pain33"
"2481","pain","a","34","g1",41,507.078522,96.586385,91,19.0476190194465,"pain34"
"2537","pain","b","34","g1",68,458.785328,69.147071,91,15.0717703422286,"pain34"
"2561","pain","a","35","g1",41,394.028549,77.927652,91,19.7771588372902,"pain35"
"2617","pain","b","35","g1",68,484.029494,68.049498,91,14.058956911415,"pain35"
"2641","pain","a","36","g1",41,538.908126,82.317942,91,15.2749491107135,"pain36"
"2697","pain","b","36","g1",68,487.322212,99.879102,91,20.4954954936468,"pain36"
"2721","pain","a","37","g2",41,559.762005,97.135172,91,17.3529412736758,"pain37"
"2775","pain","b","37","g2",68,480.73678,81.220369,91,16.8949771224078,"pain37"
"2799","pain","a","38","g2",41,537.810554,106.464538,91,19.7959183225698,"pain38"
"2855","pain","b","38","g2",68,508.176093,113.049973,91,22.2462202683746,"pain38"
"2879","pain","a","39","g2",41,477.444064,75.732507,91,15.8620690276296,"pain39"
"2935","pain","b","39","g2",68,393.646262,88.903377,91,22.584585599342,"pain39"
"2959","pain","a","40","g2",41,478.541636,84.513087,91,17.6605504395442,"pain40"
"3015","pain","b","40","g2",68,407.199415,62.561635,91,15.3638813552814,"pain40"
"3039","pain","a","41","g2",41,486.22464,90.000949,91,18.5101579796532,"pain41"
"3095","pain","b","41","g2",68,505.980949,96.586385,91,19.0889370817003,"pain41"
"3119","pain","a","42","g2",41,403.906699,43.902902,91,10.8695652012447,"pain42"
"3174","pain","b","42","g2",68,415.98,93.293667,91,22.4274405019472,"pain42"
"3198","pain","a","43","g1",41,488.419789,82.317942,91,16.8539325911711,"pain43"
"3254","pain","b","43","g1",68,400.613984,80.671583,91,20.1369862815373,"pain43"
"3278","pain","a","44","g2",41,450.004745,87.805804,91,19.5121951436312,"pain44"
"3334","pain","b","44","g2",68,480.736781,76.830079,91,15.9817351275229,"pain44"
"3358","pain","a","45","g1",41,612.445484,90.000949,91,14.6953404590702,"pain45"
"3414","pain","b","45","g1",68,647.567808,87.805805,91,13.5593221150363,"pain45"
