,word,block,id,cond,order,word_duration,vot_duration,mem_1,mem_2,rest,vot_per,rest_per,freq,KF,word_id
3052,pallet,a,41,g2,62,386.345538,82.317941,3.125,1.438014982,304.027597,21.3068181,78.6931819,0,1,pallet41
3087,pallet,b,41,g2,54,488.419788,68.049499,3.125,1.438014982,420.370289,13.93258436,86.06741564,0,1,pallet41
3132,pallet,a,42,g2,62,372.077095,36.219894,8.833333333,2.579662663,335.857201,9.73451322,90.26548678,0,1,pallet42
3166,pallet,b,42,g2,54,344.637783,60.366491,8.833333333,2.579662663,284.271292,17.51592367,82.48407633,0,1,pallet42
3211,pallet,a,43,g1,62,487.322216,83.415515,5.478571429,3.426064463,403.906701,17.11711723,82.88288277,0,1,pallet43
3246,pallet,b,43,g1,54,356.711082,71.342216,5.478571429,3.426064463,285.368866,19.99999989,80.00000011,0,1,pallet43
3291,pallet,a,44,g2,62,462.066166,79.025224,12.31746032,3.426064463,383.040942,17.10257747,82.89742253,0,1,pallet44
3326,pallet,b,44,g2,54,441.224169,107.562111,12.31746032,3.426064463,333.662058,24.37810949,75.62189051,0,1,pallet44
3371,pallet,a,45,g1,62,578.7173,54.878628,2.75,1.773534191,523.838672,9.482804126,90.51719587,0,1,pallet45
3406,pallet,b,45,g1,54,625.616357,114.147546,2.75,1.773534191,511.468811,18.24561406,81.75438594,0,1,pallet45
3451,pallet,a,46,g2,62,418.944144,78.552027,6.666666667,3.426064463,340.392117,18.75,81.25,0,1,pallet46
3486,pallet,b,46,g2,54,481.494835,149.830719,6.666666667,3.426064463,331.664116,31.11782476,68.88217524,0,1,pallet46
3531,pallet,a,47,g1,62,386.941469,49.458684,10.52380952,3.426064463,337.482785,12.78195489,87.21804511,0,1,pallet47
3566,pallet,b,47,g1,54,333.118783,76.370027,10.52380952,3.426064463,256.748756,22.92576429,77.07423571,0,1,pallet47
3611,pallet,a,48,g2,62,356.71108,61.464063,0.75,1.599676144,295.247017,17.23076923,82.76923077,0,1,pallet48
3646,pallet,b,48,g2,54,372.077097,68.049499,0.75,1.599676144,304.027598,18.28908566,81.71091434,0,1,pallet48
192,pallet,a,5,g1,62,371.501054,75.42354,8.214285714,3.426064463,296.077514,20.30237578,79.69762422,0,1,pallet5
227,pallet,b,5,g1,54,358.662722,71.642358,8.214285714,3.426064463,287.020364,19.97485482,80.02514518,0,1,pallet5
271,pallet,a,6,g2,62,392.760138,48.18585,7.458333333,2.348788663,344.574288,12.26851845,87.73148155,0,1,pallet6
306,pallet,b,6,g2,54,366.000514,74.653534,7.458333333,2.348788663,291.34698,20.39711179,79.60288821,0,1,pallet6
351,pallet,a,7,g2,62,355.562376,86.552697,3.875,2.504126581,269.009679,24.34247908,75.65752092,0,1,pallet7
386,pallet,b,7,g2,54,474.221499,65.460023,3.875,2.504126581,408.761476,13.80368101,86.19631899,0,1,pallet7
431,pallet,a,8,g2,62,494.39565,82.188695,4,2.579662663,412.206955,16.62407325,83.37592675,0,1,pallet8
466,pallet,b,8,g2,54,557.842132,115.066446,4,2.579662663,442.775686,20.62706264,79.37293736,0,1,pallet8
509,pallet,a,9,g2,62,420.095898,58.445739,3,2.154291247,361.650159,13.91247553,86.08752447,0,1,pallet9
544,pallet,b,9,g2,54,407.791717,69.147071,3,2.154291247,338.644646,16.95646775,83.04353225,0,1,pallet9
